index:ID,effect,:LABEL
GX_1,慢性支气管炎,effect
GX_2,吐泻,effect
GX_3,龋齿,effect
GX_4,通经止痛,effect
GX_5,宽胸散结,effect
GX_6,复脉,effect
GX_7,小儿肺炎,effect
GX_8,白浊,effect
GX_9,柔肝,effect
GX_10,理气疏肝,effect
GX_11,消疳,effect
GX_12,润肺化痰,effect
GX_13,散热,effect
GX_14,白带,effect
GX_15,生发乌发,effect
GX_16,理气止痛,effect
GX_17,风湿性腰腿痛,effect
GX_18,吐逆,effect
GX_19,散瘀解毒,effect
GX_20,散瘀定痛,effect
GX_21,虚痨咳嗽,effect
GX_22,解痉止痛,effect
GX_23,温经化瘀,effect
GX_24,遗尿尿频,effect
GX_25,清热镇惊,effect
GX_26,杀虫解毒,effect
GX_27,食积胀痛,effect
GX_28,开郁和中,effect
GX_29,清肺热,effect
GX_30,外用治烧烫伤,effect
GX_31,散寒,effect
GX_32,利水通淋,effect
GX_33,温通经脉,effect
GX_34,化痰散痞,effect
GX_35,疏肝利胆,effect
GX_36,平肝镇惊,effect
GX_37,主月经不调,effect
GX_38,折伤,effect
GX_39,止盗汗,effect
GX_40,调经止带,effect
GX_41,活络,effect
GX_42,睾丸肿痛,effect
GX_43,小儿头疮,effect
GX_44,外用杀虫,effect
GX_45,镇惊祛风,effect
GX_46,止咳化痰,effect
GX_47,产后出血,effect
GX_48,蛔虫腹痛,effect
GX_49,解暑,effect
GX_50,皮肤湿疹,effect
GX_51,散癣,effect
GX_52,皮肤瘙痒,effect
GX_53,解毒生肌,effect
GX_54,润心肺,effect
GX_55,肠燥便秘,effect
GX_56,排石,effect
GX_57,清利湿热,effect
GX_58,消痈肿,effect
GX_59,污水逐饮,effect
GX_60,活血消斑,effect
GX_61,益精明目,effect
GX_62,尿血崩漏,effect
GX_63,除寒,effect
GX_64,治虚弱,effect
GX_65,清心化痰,effect
GX_66,通乳,effect
GX_67,小便淋浊,effect
GX_68,滑肠通便,effect
GX_69,瘰疬,effect
GX_70,利膈,effect
GX_71,石淋,effect
GX_72,出血,effect
GX_73,止咳祛痰,effect
GX_74,痈肿疮毒,effect
GX_75,恶疮,effect
GX_76,淋浊,effect
GX_77,益气养血调经,effect
GX_78,顽癣,effect
GX_79,痈疽,effect
GX_80,回乳,effect
GX_81,凉血解毒,effect
GX_82,固肾,effect
GX_83,益气强心,effect
GX_84,解表宣肺,effect
GX_85,小儿食积,effect
GX_86,蛔虫病,effect
GX_87,清热通便,effect
GX_88,妊娠,effect
GX_89,清肺化痰,effect
GX_90,痈疽疮疡,effect
GX_91,产后乳少,effect
GX_92,乳肿,effect
GX_93,疣赘,effect
GX_94,气虚,effect
GX_95,化痰镇惊,effect
GX_96,凉血通淋,effect
GX_97,翳障,effect
GX_98,呕血,effect
GX_99,纳气平喘,effect
GX_100,乳汁不下,effect
GX_101,消瘀止痛,effect
GX_102,消肿止血,effect
